hash,count,names,files
60425457bb1fc2b8eadce916299425fb,3,"['complete', 'complete', 'complete']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
6249abbe4dc940c4d8896271f85d1581,5,"['render_components_offer_tab', 'render_components_offer_tab', 'render_components_offer_tab', 'render_components_offer_tab', 'render_components_offer_tab']","['.\\heatpump_ui.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\heatpump_ui.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\heatpump_ui.py.insert.py', '.\\tools\\out_selected\\patches\\heatpump_ui.py.insert.py', '.\\tools\\portings\\patches\\heatpump_ui.py.insert.py']"
639756c661dcc2f431e4cb74611a8e93,3,"['_get_shadcn_default_css', '_get_shadcn_default_css', '_get_shadcn_default_css']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
63ca7e164e2bd70a280a9b13409fe4db,2,"['index_python_symbols', 'index_python_symbols']","['.\\notwendig oder nicht\\wichtig\\repo_to_json.py', '.\\tools\\repo_to_json.py']"
63d7e1592d0a9f8943cecf00503334ac,5,"['get_feed_in_tariff_eur_per_kwh', 'get_feed_in_tariff_eur_per_kwh', 'get_feed_in_tariff_eur_per_kwh', 'get_feed_in_tariff_eur_per_kwh', 'get_feed_in_tariff_eur_per_kwh']","['.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\pdf_template_engine\\placeholders.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\pdf_template_engine\\placeholders.py.insert.py', '.\\pdf_template_engine\\placeholders.py', '.\\tools\\out_selected\\patches\\pdf_template_engine\\placeholders.py.insert.py', '.\\tools\\portings\\patches\\pdf_template_engine\\placeholders.py.insert.py']"
6446b7eed1357cc133c42fbc4a057028,5,"['_as_image_reader', '_as_image_reader', '_as_image_reader', '_as_image_reader', '_as_image_reader']","['.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\pdf_template_engine\\dynamic_overlay.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\pdf_template_engine\\dynamic_overlay.py.insert.py', '.\\pdf_template_engine\\dynamic_overlay.py', '.\\tools\\out_selected\\patches\\pdf_template_engine\\dynamic_overlay.py.insert.py', '.\\tools\\portings\\patches\\pdf_template_engine\\dynamic_overlay.py.insert.py']"
6496b018058163a17a205044205c6b25,3,"['test_defensive_strip', 'test_defensive_strip', 'test_defensive_strip']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_admin_fix.py.insert.py', '.\\tests\\test_admin_fix.py', '.\\tools\\portings\\patches\\test_admin_fix.py.insert.py']"
64a92c6c621925920f1540f478f6e39a,3,"['leave_SimpleStatementLine', 'leave_SimpleStatementLine', 'leave_SimpleStatementLine']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
65e5ceadcf85459deb94143d30e5d337,2,"['compute_annual_savings', 'compute_annual_savings']","['.\\calculations.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
66b7075b24dab58c0f18c1eabb53b8c6,3,"['to_dict', 'to_dict', 'to_dict']","['.\\heatpump_pricing.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\heatpump_pricing.py.insert.py', '.\\tools\\out_selected\\patches\\heatpump_pricing.py.insert.py']"
66ed241b4bdd9a54d4dcd45c9ffdc127,2,"['match_row', 'match_row']","['.\\notwendig oder nicht\\wichtig\\repo_porter_select.py', '.\\tools\\repo_porter_select.py']"
69a3a1dfa9ba91373758da9ed68c7679,2,"['_anchor_after_last_toplevel', '_anchor_after_last_toplevel']","['.\\notwendig oder nicht\\wichtig\\repo_porter.py', '.\\tools\\repo_porter.py']"
69e3eee125015414ebc19c9c79ba4644,3,"['name_in', 'name_in', 'name_in']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
6a6f37f83563221830b605e8651234b3,3,"['test_pdf_functions', 'test_pdf_functions', 'test_pdf_functions']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_hp_functions.py.insert.py', '.\\tests\\test_hp_functions.py', '.\\tools\\portings\\patches\\test_hp_functions.py.insert.py']"
